area,year,item_no,item_short,measure,category,label,points,n,pct
"พื้นที่สูง",2565,1,"ความสูงจุดสูงสุด","continuous","0 (ไม่มีข้อมูล)","0 (ไม่มีข้อมูล)",,33,2.03
"พื้นที่สูง",2565,1,"ความสูงจุดสูงสุด","continuous","1–499","1–499",,399,24.58
"พื้นที่สูง",2565,1,"ความสูงจุดสูงสุด","continuous","500–699","500–699",,330,20.33
"พื้นที่สูง",2565,1,"ความสูงจุดสูงสุด","continuous","700–999","700–999",,435,26.8
"พื้นที่สูง",2565,1,"ความสูงจุดสูงสุด","continuous","1,000–1,299","1,000–1,299",,238,14.66
"พื้นที่สูง",2565,1,"ความสูงจุดสูงสุด","continuous","≥ 1,300","≥ 1,300",,188,11.58
"พื้นที่สูง",2566,1,"ความสูงจุดสูงสุด","continuous","0 (ไม่มีข้อมูล)","0 (ไม่มีข้อมูล)",,17,7.46
"พื้นที่สูง",2566,1,"ความสูงจุดสูงสุด","continuous","1–499","1–499",,73,32.02
"พื้นที่สูง",2566,1,"ความสูงจุดสูงสุด","continuous","500–699","500–699",,127,55.7
"พื้นที่สูง",2566,1,"ความสูงจุดสูงสุด","continuous","700–999","700–999",,11,4.82
"พื้นที่สูง",2566,1,"ความสูงจุดสูงสุด","continuous","1,000–1,299","1,000–1,299",,0,0
"พื้นที่สูง",2566,1,"ความสูงจุดสูงสุด","continuous","≥ 1,300","≥ 1,300",,0,0
"พื้นที่สูง",2567,1,"ความสูงจุดสูงสุด","continuous","0 (ไม่มีข้อมูล)","0 (ไม่มีข้อมูล)",,0,0
"พื้นที่สูง",2567,1,"ความสูงจุดสูงสุด","continuous","1–499","1–499",,34,55.74
"พื้นที่สูง",2567,1,"ความสูงจุดสูงสุด","continuous","500–699","500–699",,25,40.98
"พื้นที่สูง",2567,1,"ความสูงจุดสูงสุด","continuous","700–999","700–999",,2,3.28
"พื้นที่สูง",2567,1,"ความสูงจุดสูงสุด","continuous","1,000–1,299","1,000–1,299",,0,0
"พื้นที่สูง",2567,1,"ความสูงจุดสูงสุด","continuous","≥ 1,300","≥ 1,300",,0,0
"พื้นที่สูง",2569,1,"ความสูงจุดสูงสุด","continuous","0 (ไม่มีข้อมูล)","0 (ไม่มีข้อมูล)",,0,0
"พื้นที่สูง",2569,1,"ความสูงจุดสูงสุด","continuous","1–499","1–499",,62,84.93
"พื้นที่สูง",2569,1,"ความสูงจุดสูงสุด","continuous","500–699","500–699",,9,12.33
"พื้นที่สูง",2569,1,"ความสูงจุดสูงสุด","continuous","700–999","700–999",,2,2.74
"พื้นที่สูง",2569,1,"ความสูงจุดสูงสุด","continuous","1,000–1,299","1,000–1,299",,0,0
"พื้นที่สูง",2569,1,"ความสูงจุดสูงสุด","continuous","≥ 1,300","≥ 1,300",,0,0
"พื้นที่สูง",2565,2,"ชายแดน","ordinal","1","1. หมู่บ้าน/เขตบริการติดชายแดน",5,260,16.02
"พื้นที่สูง",2565,2,"ชายแดน","ordinal","2","2. ตำบลติดชายแดน",4,233,14.36
"พื้นที่สูง",2565,2,"ชายแดน","ordinal","3","3. อำเภอติดชายแดน",3,405,24.95
"พื้นที่สูง",2565,2,"ชายแดน","ordinal","4","4. จังหวัดติดชายแดน",2,373,22.98
"พื้นที่สูง",2565,2,"ชายแดน","ordinal","5","5. ไม่อยู่ในจังหวัดติดชายแดน",0,307,18.92
"พื้นที่สูง",2565,2,"ชายแดน","ordinal","blank","(ไม่ได้กรอก)",,45,2.77
"พื้นที่สูง",2566,2,"ชายแดน","ordinal","1","1. หมู่บ้าน/เขตบริการติดชายแดน",5,21,9.21
"พื้นที่สูง",2566,2,"ชายแดน","ordinal","2","2. ตำบลติดชายแดน",4,11,4.82
"พื้นที่สูง",2566,2,"ชายแดน","ordinal","3","3. อำเภอติดชายแดน",3,74,32.46
"พื้นที่สูง",2566,2,"ชายแดน","ordinal","4","4. จังหวัดติดชายแดน",2,67,29.39
"พื้นที่สูง",2566,2,"ชายแดน","ordinal","5","5. ไม่อยู่ในจังหวัดติดชายแดน",0,35,15.35
"พื้นที่สูง",2566,2,"ชายแดน","ordinal","blank","(ไม่ได้กรอก)",,20,8.77
"พื้นที่สูง",2567,2,"ชายแดน","ordinal","1","1. หมู่บ้าน/เขตบริการติดชายแดน",5,5,8.2
"พื้นที่สูง",2567,2,"ชายแดน","ordinal","2","2. ตำบลติดชายแดน",4,5,8.2
"พื้นที่สูง",2567,2,"ชายแดน","ordinal","3","3. อำเภอติดชายแดน",3,6,9.84
"พื้นที่สูง",2567,2,"ชายแดน","ordinal","4","4. จังหวัดติดชายแดน",2,17,27.87
"พื้นที่สูง",2567,2,"ชายแดน","ordinal","5","5. ไม่อยู่ในจังหวัดติดชายแดน",0,16,26.23
"พื้นที่สูง",2567,2,"ชายแดน","ordinal","blank","(ไม่ได้กรอก)",,12,19.67
"พื้นที่สูง",2569,2,"ชายแดน","ordinal","1","1. หมู่บ้าน/เขตบริการติดชายแดน",5,2,2.74
"พื้นที่สูง",2569,2,"ชายแดน","ordinal","2","2. ตำบลติดชายแดน",4,4,5.48
"พื้นที่สูง",2569,2,"ชายแดน","ordinal","3","3. อำเภอติดชายแดน",3,3,4.11
"พื้นที่สูง",2569,2,"ชายแดน","ordinal","4","4. จังหวัดติดชายแดน",2,30,41.1
"พื้นที่สูง",2569,2,"ชายแดน","ordinal","5","5. ไม่อยู่ในจังหวัดติดชายแดน",0,7,9.59
"พื้นที่สูง",2569,2,"ชายแดน","ordinal","blank","(ไม่ได้กรอก)",,27,36.99
"พื้นที่สูง",2565,3,"เขต อปท.","ordinal","1","1. อบต.",5,1310,80.71
"พื้นที่สูง",2565,3,"เขต อปท.","ordinal","2","2. เทศบาลตำบล",4,273,16.82
