area,item_no,item_short,measure,answer,points,n,pct,item_max,variance_share_pct,D
"พื้นที่สูง",1,"ความสูงจุดสูงสุด","continuous","0 (ไม่มีข้อมูล)",,9,0.61,30,7.68,0.04
"พื้นที่สูง",1,"ความสูงจุดสูงสุด","continuous","1–499",,175,11.82,30,7.68,0.04
"พื้นที่สูง",1,"ความสูงจุดสูงสุด","continuous","500–699",,435,29.37,30,7.68,0.04
"พื้นที่สูง",1,"ความสูงจุดสูงสุด","continuous","700–999",,438,29.57,30,7.68,0.04
"พื้นที่สูง",1,"ความสูงจุดสูงสุด","continuous","1,000–1,299",,238,16.07,30,7.68,0.04
"พื้นที่สูง",1,"ความสูงจุดสูงสุด","continuous","≥ 1,300",,186,12.56,30,7.68,0.04
"พื้นที่สูง",2,"ชายแดน","ordinal","1. หมู่บ้าน/เขตบริการติดชายแดน",5,244,16.48,5,5.11,0.24
"พื้นที่สูง",2,"ชายแดน","ordinal","2. ตำบลติดชายแดน",4,231,15.6,5,5.11,0.24
"พื้นที่สูง",2,"ชายแดน","ordinal","3. อำเภอติดชายแดน",3,421,28.43,5,5.11,0.24
"พื้นที่สูง",2,"ชายแดน","ordinal","4. จังหวัดติดชายแดน",2,390,26.33,5,5.11,0.24
"พื้นที่สูง",2,"ชายแดน","ordinal","5. ไม่อยู่ในจังหวัดติดชายแดน",0,188,12.69,5,5.11,0.24
"พื้นที่สูง",2,"ชายแดน","ordinal","(ไม่ได้กรอก)",,7,0.47,5,5.11,0.24
"พื้นที่สูง",3,"เขต อปท.","ordinal","1. อบต.",5,1221,82.44,5,1.01,0.05
"พื้นที่สูง",3,"เขต อปท.","ordinal","2. เทศบาลตำบล",4,258,17.42,5,1.01,0.05
"พื้นที่สูง",3,"เขต อปท.","ordinal","3. เทศบาลเมือง",3,1,0.07,5,1.01,0.05
"พื้นที่สูง",3,"เขต อปท.","ordinal","4. เทศบาลนคร",0,0,0,5,1.01,0.05
"พื้นที่สูง",3,"เขต อปท.","ordinal","(ไม่ได้กรอก)",,1,0.07,5,1.01,0.05
"พื้นที่สูง",4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","0 (ไม่มีเส้นทางลำบาก)",,1291,87.17,5,9.04,0.34
"พื้นที่สูง",4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","0.01–1.99",,10,0.68,5,9.04,0.34
"พื้นที่สูง",4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","2–4.99",,28,1.89,5,9.04,0.34
"พื้นที่สูง",4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","5–9.99",,47,3.17,5,9.04,0.34
"พื้นที่สูง",4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","≥ 10",,105,7.09,5,9.04,0.34
"พื้นที่สูง",5,"ระยะทางถึงศาลากลาง","continuous","0 (ไม่มีข้อมูล)",,9,0.61,5,1.91,0.06
"พื้นที่สูง",5,"ระยะทางถึงศาลากลาง","continuous","1–49",,103,6.95,5,1.91,0.06
"พื้นที่สูง",5,"ระยะทางถึงศาลากลาง","continuous","50–99",,551,37.2,5,1.91,0.06
"พื้นที่สูง",5,"ระยะทางถึงศาลากลาง","continuous","100–149",,483,32.61,5,1.91,0.06
"พื้นที่สูง",5,"ระยะทางถึงศาลากลาง","continuous","150–199",,254,17.15,5,1.91,0.06
"พื้นที่สูง",5,"ระยะทางถึงศาลากลาง","continuous","≥ 200",,81,5.47,5,1.91,0.06
"พื้นที่สูง",6,"ขนส่งสาธารณะ","ordinal","1. ไม่มีรถประจำทาง",5,1174,79.27,5,2.32,0.11
"พื้นที่สูง",6,"ขนส่งสาธารณะ","ordinal","2. ≤2 เที่ยว/วัน",4,188,12.69,5,2.32,0.11
"พื้นที่สูง",6,"ขนส่งสาธารณะ","ordinal","3. ≤4 เที่ยว/วัน",3,57,3.85,5,2.32,0.11
"พื้นที่สูง",6,"ขนส่งสาธารณะ","ordinal","4. ≤6 เที่ยว/วัน",1,27,1.82,5,2.32,0.11
"พื้นที่สูง",6,"ขนส่งสาธารณะ","ordinal","5. >6 เที่ยว/วัน",1,34,2.3,5,2.32,0.11
"พื้นที่สูง",6,"ขนส่งสาธารณะ","ordinal","(ไม่ได้กรอก)",,1,0.07,5,2.32,0.11
"พื้นที่สูง",7,"แหล่งน้ำ","multiset","1. ต่อจากแหล่งน้ำธรรมชาติ (ประปาภูเขา/ลำธาร)",6,971,65.56,6,6.6,0.25
"พื้นที่สูง",7,"แหล่งน้ำ","multiset","2. สูบจากบ่อ/สระ/บาดาลของชุมชน",5,211,14.25,6,6.6,0.25
"พื้นที่สูง",7,"แหล่งน้ำ","multiset","3. สูบจากบ่อ/สระ/บาดาลของโรงเรียน",4,377,25.46,6,6.6,0.25
"พื้นที่สูง",7,"แหล่งน้ำ","multiset","4. ประปาหมู่บ้าน/ชุมชน",3,177,11.95,6,6.6,0.25
"พื้นที่สูง",7,"แหล่งน้ำ","multiset","5. ประปา อปท.",2,50,3.38,6,6.6,0.25
"พื้นที่สูง",7,"แหล่งน้ำ","multiset","6. ประปาส่วนภูมิภาค",1,58,3.92,6,6.6,0.25
"พื้นที่สูง",7,"แหล่งน้ำ","multiset","(ไม่ได้กรอก)",,1,0.07,6,6.6,0.25
"พื้นที่สูง",8,"ไฟฟ้า","multiset","1. พลังงานทางเลือก (โซลาร์/ลม/น้ำ/เครื่องปั่นไฟ)",3,245,16.54,3,5.29,0.33
"พื้นที่สูง",8,"ไฟฟ้า","multiset","2. ไฟฟ้าส่วนภูมิภาค",0,1328,89.67,3,5.29,0.33
"พื้นที่สูง",8,"ไฟฟ้า","multiset","(ไม่ได้กรอก)",,1,0.07,3,5.29,0.33
"พื้นที่สูง",9,"โทรศัพท์","multiset","1. ไม่มีเครือข่ายสัญญาณ",3,129,8.71,3,3.56,0.24
"พื้นที่สูง",9,"โทรศัพท์","multiset","2. ผ่านจานดาวเทียม",2,48,3.24,3,3.56,0.24
"พื้นที่สูง",9,"โทรศัพท์","multiset","3. โทรศัพท์เคลื่อนที่",1,1243,83.93,3,3.56,0.24
"พื้นที่สูง",9,"โทรศัพท์","multiset","4. โทรศัพท์พื้นฐาน",0,264,17.83,3,3.56,0.24
"พื้นที่สูง",9,"โทรศัพท์","multiset","(ไม่ได้กรอก)",,1,0.07,3,3.56,0.24
"พื้นที่สูง",10,"อินเทอร์เน็ต","multiset","1. ไม่มีเครือข่าย Internet",3,71,4.79,3,4,0.26
"พื้นที่สูง",10,"อินเทอร์เน็ต","multiset","2. จานรับสัญญาณดาวเทียม",2,118,7.97,3,4,0.26
"พื้นที่สูง",10,"อินเทอร์เน็ต","multiset","3. ไร้สาย (มือถือ)",1,581,39.23,3,4,0.26
"พื้นที่สูง",10,"อินเทอร์เน็ต","multiset","4. Leased line / Fiber",0,1138,76.84,3,4,0.26
"พื้นที่สูง",10,"อินเทอร์เน็ต","multiset","(ไม่ได้กรอก)",,1,0.07,3,4,0.26
"พื้นที่สูง",11,"% ชาติพันธุ์","percent","0%",,240,16.21,5,14.12,0.71
"พื้นที่สูง",11,"% ชาติพันธุ์","percent","0.01–24.99%",,111,7.49,5,14.12,0.71
